신원용_0,소셜 빅 데이터 마이닝을 통한 거대 스케일 포그 네트워크 설계 및 핵심 요소기술 개발,신원용_1,초불확실성 문제 해결을 위한 심층 네트워크 복구 방법 및 핵심 요소기술 개발,weight,1.2
신원용_0,거대 스케일 모바일 소셜 네트워크 프레임워크 설계 및 핵심기술 개발,신원용_1,소셜 빅 데이터 마이닝을 통한 거대 스케일 포그 네트워크 설계 및 핵심 요소기술 개발,weight,1.8321205588
신원용_0,빅 소셜 데이터 마이닝을 통한 다중사용자 네트워크 설계 및 핵심 요소기술 개발,신원용_1,소셜 빅 데이터 마이닝을 통한 거대 스케일 포그 네트워크 설계 및 핵심 요소기술 개발,weight,0.4
신원용_0,소셜 빅 데이터 마이닝을 통한 거대 스케일 포그 네트워크 설계 및 핵심 요소기술 개발,신원용_2,사용자 선호도를 사용한 군집 기반 추천 시스템,weight,0.8
신원용_1,초불확실성 문제 해결을 위한 심층 네트워크 복구 방법 및 핵심 요소기술 개발,신원용_2,사용자 선호도를 사용한 군집 기반 추천 시스템,weight,0.2
노승민_0,문화권 군집화 기반의 개인 맞춤형 서비스를 제공하는 미디어 빅데이터 분석 및 추천 플랫폼,노승민_1,문화권 군집화 기반의 개인 맞춤형 서비스를 제공하는 미디어 빅데이터 분석 및 추천 플랫폼,weight,1.7816843611
한진영_0,딥러닝 기반 정보확산과정 예측,한진영_1,딥러닝 기반 정보확산과정 예측,weight,2.5816843611
한진영_0,인기 있는 콘텐트 공유 예측을 위한 빅데이터 기반 핵심기술 연구,한진영_1,딥러닝 기반 정보확산과정 예측,weight,1.4646647168
PIAO GENSONG_0,위치 기반 소셜 네트워크 빅 데이터 기반 도시 젠트리피케이션 예측 시스템 개발,PIAO GENSONG_1,위치 기반 소셜 네트워크 빅 데이터 기반 도시 젠트리피케이션 예측 시스템 개발,weight,2.793262053
정경용_0,온톨로지 기반의 지능형 사면 모델링과 도시기후재해지수 개발,정경용_1,교통안전을 위한 상황 딥러닝 기반 이머징 헬스 리스크 마이닝,weight,-0.4
김민수_0,빅데이터에 기반한 농작물의 생산량 및 가격 예측 모형 개발,김민수_1,빅 그래프를 위한 SSD 기반의 효율적인 연결요소 분석 방법,weight,1
김민수_0,빅데이터에 기반한 농작물의 생산량 및 가격 예측 모형 개발,김민수_1,빅 그래프를 위한 SSD 기반의 효율적인 연결요소 분석 방법,weight,1
김민수_0,빅데이터에 기반한 농작물의 생산량 및 가격 예측 모형 개발,김민수_1,빅 그래프를 위한 SSD 기반의 효율적인 연결요소 분석 방법,weight,1
김민수_0,빅데이터에 기반한 농작물의 생산량 및 가격 예측 모형 개발,김민수_2,국내외 공간빅데이터 정책 및 기술동향,weight,-0.4
김민수_0,빅데이터에 기반한 농작물의 생산량 및 가격 예측 모형 개발,김민수_3,소셜 빅데이터 분석을 이용한 2018 아시안게임 야구 국가대표팀에 대한 인식 분석,weight,0.4
김민수_1,빅 그래프를 위한 SSD 기반의 효율적인 연결요소 분석 방법,김민수_2,국내외 공간빅데이터 정책 및 기술동향,weight,0.6
김민수_1,빅 그래프를 위한 SSD 기반의 효율적인 연결요소 분석 방법,김민수_3,소셜 빅데이터 분석을 이용한 2018 아시안게임 야구 국가대표팀에 대한 인식 분석,weight,0.6
김민수_2,국내외 공간빅데이터 정책 및 기술동향,김민수_3,소셜 빅데이터 분석을 이용한 2018 아시안게임 야구 국가대표팀에 대한 인식 분석,weight,0.2
이한구_0,소셜리티로 구성된 스마트 디바이스간의 개방형 콘텐츠 전달을 위한 클라우드 단말 서비스 기술 개발,이한구_1,소셜 미디어 서비스를 위한 클라우드 플랫폼 및 응용서비스 기술 개발,weight,3
