name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
Kim, Ayoung,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
Xie, Lihua,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
Wu, Yihong,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
Stricker, Didier,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
Stachniss, Cyrill,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
Hao, Qi,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
Kaess, Michael,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
Leonard, John J.,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
Vijayakumar, Sethu,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
임기병,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
장영민,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
김아영,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
정희운,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이승환,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
명현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
average,,,0.81778,1.00000,0.89976
