name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
김소연,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박경신,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김금영,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
류지헌,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
김기범,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
박상현,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
이은주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김태희,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
김동현,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
조동식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박준형,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
박인규,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
유태경,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
한수정,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
황희준,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김태룡,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김정환,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
이영준,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이현진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김민정,6,6,0.00000,0.00000,0.00000, [0 0 0 0 0 0], [0 1 2 3 4 5]
김현정,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
김정희,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
김은희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
한경훈,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
조정희,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
유정민,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
박수경,4,4,0.00000,0.00000,0.00000, [0 0 0 0], [0 1 2 3]
김혜영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
강희원,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김동규,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
최준호,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이상욱,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
유선진,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
이승현,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
이지은,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
이재영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
윤경로,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
