name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
skarmetaantoniof,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
zualkernanimrana,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
ahmedmuqeem,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
heyong,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
hornbucklejohn,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
netinantpaniti,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
shruthir,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
showpauloke,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
average,,,0.91667,1.00000,0.95652
