name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
Cho, Kyung Hwa,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
Kotecha, Ketan,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
Ohtsuki, Tomoaki,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
Kumar, Neeraj,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2]
Huang, Zhiqiu,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
Chen, Feng,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
Gandomi, Amir H.,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
Choi, Gyu Sang,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
Li, Xiaoli,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
Li, Wei,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
Wang, Wei,5,5,0.00000,0.00000,0.00000, [0 0 0 0 0], [0 1 2 3 4]
Lv, Zhihan,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
Champagne, Benoit,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
Thill, Jean-Claude,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
Kim, Dong-Seong,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
Sun, Ying,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
Wang, Yinhai,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
Liu, Yonggang,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
유윤섭,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
Zhang, Lei,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
Jang, Yeong Min,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
Naik, Dinesh,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1]
Namboodiri, Vinay P.,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
Liu, Yong,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
Kumar, Sunil,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
정회경,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
강경구,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
윤광석,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이승오,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
정용화,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 0 0 0 0 1]
문남미,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1]
