name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
박성민,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
한정희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
김종욱,5,3,0.20000,1.00000,0.33333, [0 0 0 0 0], [0 0 1 1 2]
조병관,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
홍충선,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김영주,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김태형,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박재완,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
황미경,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
박주연,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
오원근,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
김성은,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김주영,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
서태원,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
이형규,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
신상준,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
고윤호,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김경민,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
최준호,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
오상진,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
박진호,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김진우,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
김영식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
권오병,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김정선,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
김희숙,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
안성진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
박지은,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김종원,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
최웅,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이선민,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이명식,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김승준,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
박상현,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
성태응,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이종환,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
권순일,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
윤서연,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김성호,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김형석,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
이규진,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이주연,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
박효선,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이상우,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
이영준,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
이성희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
유호영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박현진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
한철,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김선영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김기선,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김진환,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김백기,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
정성훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
임치현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김재경,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
박정호,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
안세영,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김동주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
조인준,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
조한신,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
임동혁,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김소연,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
김광수,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
이일구,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
한창희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
최종혁,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김은지,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
강윤희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김동일,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
윤한얼,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김태현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김현철,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
남택진,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김진현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김정환,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
신현정,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
이창훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박정규,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박세현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김진규,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
정회경,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
신지욱,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박남제,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
장병탁,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김영록,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김상훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
정길도,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
김동균,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
조기춘,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이진숙,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
문정환,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
average,,,0.48615,0.96687,0.64699
