name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
고정길,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
허준호,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
곽정훈,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
박찬홍,6,2,0.46667,1.00000,0.63636, [0 0 0 0 0 0], [0 0 0 0 1 1]
김경태,11,2,0.49091,1.00000,0.65854, [0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 1 1 1 1 1 1 1]
김승구,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
김태환,9,2,0.44444,1.00000,0.61538, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 1 1 1 1]
노정진,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
김훈,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
이건명,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김범석,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
강동현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
신경섭,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
박영준,6,4,0.13333,1.00000,0.23529, [0 0 0 0 0 0], [0 0 1 1 2 3]
최상일,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1]
백세웅,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
정수환,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
박준홍,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
이상영,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1]
정지원,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1]
임재한,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1]
이민수,6,2,0.46667,1.00000,0.63636, [0 0 0 0 0 0], [0 0 1 1 1 1]
강지헌,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1]
주수종,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
윤상석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
이성원,5,3,0.20000,1.00000,0.33333, [0 0 0 0 0], [0 0 1 1 2]
최덕현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
권태경,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
이형규,8,3,0.53571,1.00000,0.69767, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 2]
김형진,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
이응혁,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
배유석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이미정,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김동욱,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
이종식,6,3,0.50000,0.50000,0.50000, [1 0 2 0 0 0], [0 1 1 1 1 2]
강동훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
이상준,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
서창준,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
최경현,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2]
김영민,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2]
신강욱,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
최진구,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1]
정교범,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
손경아,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1]
박현주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
민홍,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2]
이용주,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
이영주,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
박재영,11,2,0.81818,1.00000,0.90000, [0 0 0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1 1 1]
김성현,7,3,0.47619,1.00000,0.64516, [0 0 0 0 0 0 0], [0 1 1 1 1 1 2]
김민정,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
김태홍,8,2,0.75000,1.00000,0.85714, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1]
김상길,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
김영식,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
민경식,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
조희승,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
장영찬,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
황경호,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
김동균,9,2,0.77778,1.00000,0.87500, [0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1]
이재민,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
김지혜,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
유회준,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
송재승,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
윤정원,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이강윤,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 0 0 0 0 0 1]
김종태,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김현철,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
박재현,8,3,0.53571,1.00000,0.69767, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 2]
오진우,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
장종욱,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
오세진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이용환,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
황성운,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김형석,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
김진수,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김동민,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
김형준,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
김명진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김성만,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박세현,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
김홍주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
홍인기,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김영균,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
최훈,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1]
박찬익,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
최광훈,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
정동근,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
조진성,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
박준영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
신동군,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
박수용,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
정은성,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
김봉재,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
홍지만,9,2,0.77778,1.00000,0.87500, [0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1]
조근식,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
박진철,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이동훈,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1]
송유진,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
백동현,10,2,0.80000,1.00000,0.88889, [0 0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1 1]
홍충선,7,1,1.00000,0.47619,0.64516, [0 0 1 0 0 0 2], [0 0 0 0 0 0 0]
이승훈,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
고대식,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
배인한,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
이연식,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
최영석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김재곤,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
김형섭,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김대희,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
김광호,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
김광훈,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
염흥열,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
김승주,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이옥연,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
정회경,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
김종수,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
김형기,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
문양세,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
정진만,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
이정훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김헌,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
김혜영,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
정지훈,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
조영임,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
유상조,8,2,0.75000,1.00000,0.85714, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1]
최용석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김동성,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
강승택,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이석,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
조성현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김주성,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
우성희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박희준,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
김창우,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
이지석,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
박래혁,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이경현,9,2,0.77778,1.00000,0.87500, [0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1]
김대원,4,1,1.00000,0.16667,0.28571, [1 0 2 0], [0 0 0 0]
신상욱,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1]
권순각,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
최우영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
윤상웅,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1]
김승훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박상준,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김영학,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
이범선,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1]
김화종,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
average,,,0.57115,0.97042,0.71908
