name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
김성남,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
이민철,4,2,0.5,1,0.66667, [0 0 0 0], [0 0 0 1],0.5
허창우,3,1,1,1,1, [0 0 0], [0 0 0],1.0
임윤수,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
박범식,3,1,1,1,1, [0 0 0], [0 0 0],1.0
서충열,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김정창,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
김진걸,3,1,1,1,1, [0 0 0], [0 0 0],1.0
조주필,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
이혜인,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이혜리,4,2,0.33333,1,0.5, [0 0 0 0], [0 0 1 1],0.3333333333333333
이재호,4,3,0.16667,1,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
김용석,4,4,0,0,0, [0 0 0 0], [0 1 2 3],0.0
이재승,4,2,0.33333,1,0.5, [0 0 0 0], [0 0 1 1],0.3333333333333333
이규호,4,3,0.16667,1,0.28571, [0 0 0 0], [0 0 1 2],0.16666666666666666
김동환,5,3,0.3,1,0.46154, [0 0 0 0 0], [0 0 0 1 2],0.3
이현진,5,3,0.3,1,0.46154, [0 0 0 0 0], [0 1 1 1 2],0.3
권기홍,3,1,1,1,1, [0 0 0], [0 0 0],1.0
양순용,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이승연,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
이석필,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이동원,3,1,1,1,1, [0 0 0], [0 0 0],1.0
허강,3,1,1,1,1, [0 0 0], [0 0 0],1.0
홍준석,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이동환,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이상협,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이지은,4,4,0,0,0, [0 0 0 0], [0 1 2 3],0.0
김장영,5,1,1,1,1, [0 0 0 0 0], [0 0 0 0 0],1.0
이경훈,4,2,0.33333,1,0.5, [0 0 0 0], [0 0 1 1],0.3333333333333333
서희선,3,1,1,1,1, [0 0 0], [0 0 0],1.0
