name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
조정희,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
유정민,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2],0.3
박수경,4,4,0.00000,0.00000,0.00000, [0 0 0 0], [0 1 2 3],0.0
김혜영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
강희원,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김동규,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
최준호,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이상욱,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
유선진,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
이승현,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
이지은,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2],0.3
이재영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
윤경로,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
오범석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
심효원,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이주현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김창식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김나연,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
신성윤,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
이원진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김지윤,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김민수,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
서경민,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
김기홍,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
김종국,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
박민수,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이상윤,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김지훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박재영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
양희진,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
박찬욱,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
average,,,0.47004,0.93750,0.62615,0.4700404341029343
