name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
이의진,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
곽정호,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
황성운,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
엄태원,5,3,0.20000,1.00000,0.33333, [0 0 0 0 0], [0 0 1 2 2],0.2
박현희,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
김영진,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
장진수,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 0 1 1],0.4
김주영,5,4,0.10000,1.00000,0.18182, [0 0 0 0 0], [0 1 1 2 3],0.1
박수현,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2],0.16666666666666666
김대영,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2],0.16666666666666666
정진만,8,2,0.46429,1.00000,0.63415, [0 0 0 0 0 0 0 0], [0 0 0 1 1 1 1 1],0.4642857142857143
정종필,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
한창희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
임종범,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1],0.4
박성민,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
백장운,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
엄영익,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
박은영,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이상진,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
박진호,3,2,0.00000,0.00000,0.00000, [2 1 0], [0 1 1],0.6666666666666666
김동균,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
장민석,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
정광수,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
