name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
고정길,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
허준호,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
곽정훈,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
박찬홍,6,2,0.46667,1.00000,0.63636, [0 0 0 0 0 0], [0 0 0 0 1 1],0.4666666666666667
김경태,11,2,0.49091,1.00000,0.65854, [0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 1 1 1 1 1 1 1],0.4909090909090909
김승구,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
김태환,9,2,0.44444,1.00000,0.61538, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 1 1 1 1],0.4444444444444444
노정진,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
김훈,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
이건명,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김범석,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
강동현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
신경섭,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
박영준,6,4,0.13333,1.00000,0.23529, [0 0 0 0 0 0], [0 0 1 1 2 3],0.13333333333333333
최상일,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1],0.4
백세웅,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
정수환,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
박준홍,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이상영,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1],0.4
정지원,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1],0.4
임재한,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1],0.4
이민수,6,2,0.46667,1.00000,0.63636, [0 0 0 0 0 0], [0 0 1 1 1 1],0.4666666666666667
강지헌,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1],0.6
주수종,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
윤상석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이성원,5,3,0.20000,1.00000,0.33333, [0 0 0 0 0], [0 0 1 1 2],0.2
최덕현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
권태경,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
이형규,8,3,0.53571,1.00000,0.69767, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 2],0.5357142857142857
김형진,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
이응혁,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
배유석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이미정,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김동욱,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
이종식,6,3,0.50000,0.50000,0.50000, [1 0 2 0 0 0], [0 1 1 1 1 2],0.6
강동훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이상준,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
서창준,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
최경현,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2],0.4
김영민,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2],0.16666666666666666
신강욱,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
최진구,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1],0.6666666666666666
정교범,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
손경아,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1],0.4
박현주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
민홍,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2],0.4
이용주,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
이영주,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
박재영,11,2,0.81818,1.00000,0.90000, [0 0 0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1 1 1],0.8181818181818182
김성현,7,3,0.47619,1.00000,0.64516, [0 0 0 0 0 0 0], [0 1 1 1 1 1 2],0.47619047619047616
김민정,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김태홍,8,2,0.75000,1.00000,0.85714, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1],0.75
김상길,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2],0.3
김영식,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
민경식,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
조희승,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
장영찬,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
황경호,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
김동균,9,2,0.77778,1.00000,0.87500, [0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1],0.7777777777777778
이재민,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
김지혜,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2],0.3
유회준,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
송재승,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
윤정원,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이강윤,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 0 0 0 0 0 1],0.7142857142857143
김종태,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김현철,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
박재현,8,3,0.53571,1.00000,0.69767, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 2],0.5357142857142857
오진우,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
장종욱,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
오세진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이용환,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
황성운,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김형석,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2],0.3
김진수,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김동민,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2],0.3
김형준,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김명진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김성만,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박세현,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
김홍주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
홍인기,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김영균,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
최훈,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1],0.6666666666666666
박찬익,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
최광훈,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
정동근,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
조진성,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
박준영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
신동군,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
박수용,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
정은성,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
김봉재,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
홍지만,9,2,0.77778,1.00000,0.87500, [0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1],0.7777777777777778
조근식,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
박진철,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이동훈,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1],0.6666666666666666
송유진,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2],0.3
백동현,10,2,0.80000,1.00000,0.88889, [0 0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1 1],0.8
홍충선,7,1,1.00000,0.47619,0.64516, [0 0 1 0 0 0 2], [0 0 0 0 0 0 0],0.47619047619047616
이승훈,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
고대식,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
배인한,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
이연식,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1],0.7142857142857143
최영석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김재곤,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
김형섭,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김대희,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
김광호,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
김광훈,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
염흥열,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
김승주,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이옥연,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
정회경,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
김종수,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
김형기,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
문양세,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
정진만,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
이정훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김헌,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1],0.7142857142857143
김혜영,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1],0.7142857142857143
정지훈,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
조영임,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
유상조,8,2,0.75000,1.00000,0.85714, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1],0.75
최용석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김동성,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1],0.7142857142857143
강승택,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이석,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
조성현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김주성,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
우성희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박희준,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
김창우,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
이지석,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1],0.7142857142857143
박래혁,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이경현,9,2,0.77778,1.00000,0.87500, [0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1],0.7777777777777778
김대원,4,1,1.00000,0.16667,0.28571, [1 0 2 0], [0 0 0 0],0.16666666666666666
신상욱,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1],0.6666666666666666
권순각,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
최우영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
윤상웅,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1],0.6666666666666666
김승훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박상준,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김영학,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
이범선,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 1 1 1 1 1],0.6666666666666666
김화종,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
average,,,0.57115,0.97042,0.71908,0.5648027197269615
